Sexo	n	sexo
masculino	adj	masculino
,	punc	,
56	num	56
anos	n	ano
,	punc	,
com	prp	com
história	n	história
de	prp	de
laminectomia	n	laminectomia
lombo-sagrada	v-pcp	lombar-sagrar
há	v-fin	haver
8	num	8
anos	n	ano
por	prp	por
radiculopatia	n	radiculopatia
S1	prop	s1
secundária	v-fin	secundar
a	art	o
hérnia	n	hérnia
discal	adj	discal
.	punc	.
Após	prp	após
2	num	2
anos	n	ano
,	punc	,
refere	v-fin	referir
início	n	início
de	prp	de
cãibras	n	cãibra
e	conj-c	e
fasciculações	n	fasciculação
em	prp	em
a	art	o
região	n	região
gemelar	adj	gemelar
direita	adj	direito
,	punc	,
com	prp	com
aumento	n	aumento
de	prp	de
o	art	o
volume	n	volume
muscular	adj	muscular
.	punc	.
A	art	o
A	art	o
observação	n	observação
,	punc	,
7	num	7
anos	n	ano
após	prp	após
a	art	o
cirurgia	n	cirurgia
,	punc	,
notava	v-fin	notar
se	pron-pers	se
marcada	v-pcp	marcar
hipertrofia	n	hipertrofia
de	prp	de
os	art	o
gémeos	n	gémeo
a	prp	a
a	art	o
direita	n	direita
,	punc	,
que	pron-indp	que
tinham	v-fin	ter
abundantes	adj	abundante
fasciculações	n	fasciculação
.	punc	.
O	art	o
reflexo	n	reflexo
aquiliano	adj	aquiliano
direito	n	direito
estava	v-fin	estar
ausente	adj	ausente
e	conj-c	e
havia	v-fin	haver
retracção	n	retracção
de	prp	de
o	art	o
tendão	n	tendo
de	prp	de
Aquiles	prop	aquiles
.	punc	.
A	art	o
sensibilidade	n	sensibilidade
e	conj-c	e
a	art	o
força	n	força
muscular	adj	muscular
estavam	v-fin	estar
preservadas	v-pcp	preservar
.	punc	.
O	art	o
CK	prop	ck
estava	v-fin	estar
elevado	v-pcp	elevar
(	punc	(
644UI	prop	644ui
/	punc	/
)	punc	)
.	punc	.
O	art	o
EMG	prop	emg
identificou	v-fin	identificar
sinais	n	sinal
de	prp	de
marcada	n	marcado
perda	adj	perda
crónica	adj	crónica
de	prp	de
unidades	n	unidade
motoras	adj	motor
em	prp	em
o	art	o
território	n	território
de	prp	de
S1	prop	s1
a	prp	a
a	art	o
direita	n	direita
,	punc	,
com	prp	com
abundantes	n	abundante
fasciculações	n	fasciculação
e	conj-c	e
salvas	n	salva
repetitivas	adj	repetitivo
de	prp	de
alta	n	alta
frequência	v-pcp	frequêncer
(	punc	(
gémeos	n	gémeo
e	conj-c	e
solhar	n	solhar
)	punc	)
,	punc	,
sem	prp	sem
alterações	n	alteração
em	prp	em
os	art	o
restantes	adj	restante
músculos	n	músculo
.	punc	.
A	art	o
RMN	prop	rmn
lombosagrada	v-pcp	lombosagradar
mostrou	v-fin	mostrar
um	art	um
canal	n	canal
estenótico	adj	estenótico
lombar	punc	lombar
e	conj-c	e
captação	n	captação
de	prp	de
gadolíneo	n	gadolíneo
de	prp	de
a	art	o
S1	prop	s1
direita	adj	direito
.	punc	.
A	art	o
RMN	prop	rmn
de	prp	de
a	art	o
perna	n	perna
direita	adj	direito
mostrou	v-fin	mostrar
um	art	um
aumento	n	aumento
de	prp	de
as	art	o
dimensões	n	dimensão
de	prp	de
a	art	o
massa	n	massa
muscular	adj	muscular
em	prp	em
particular	n	particular
de	prp	de
o	art	o
gémeo	n	gémeo
externo	adj	externo
e	conj-c	e
de	prp	de
o	art	o
solhar	n	solhar
,	punc	,
com	prp	com
conteúdo	n	conteúdo
normal	adj	normal
de	prp	de
gordura	n	gordura
.	punc	.
A	art	o
biópsia	n	biópsia
muscular	adj	muscular
(	punc	(
gémeo	n	gémeo
externo	adj	externo
direito	n	direito
)	punc	)
mostrou	v-fin	mostrar
hipertrofia	adj	hipertrofia
(	punc	(
predominantemente	adv	predominantemente
de	prp	de
o	art	o
tipo	n	tipo
I	adj	i
)	punc	)
e	conj-c	e
atrofia	n	atrofia
de	prp	de
fibras	n	fibra
,	punc	,
com	prp	com
type-	n	type-
-grouping	adj	-grouping
.	punc	.
A	art	o
administração	n	administração
de	prp	de
toxina	n	toxina
botulínica	adj	botulínica
(	punc	(
Botox®	prop	botox®
)	punc	)
,	punc	,
por	prp	por
3	num	3
ocasiões	n	ocasião
,	punc	,
em	prp	em
4	num	4
pontos	n	ponto
em	prp	em
o	art	o
gémeo	n	gémeo
direito	adj	direito
(	punc	(
20U	prop	20u
por	prp	por
ponto	n	ponto
,	punc	,
0,8cc	num	0,8cc
por	prp	por
ponto	n	ponto
)	punc	)
causou	v-fin	causar
melhoria	n	melhoria
subjectiva	adj	subjectivo
(	punc	(
actualmente	adv	actualmente
tem	v-fin	ter
apenas	adv	apenas
ligeiro	adj	ligeiro
desconforto	n	desconforto
em	prp	em
a	art	o
perna	n	perna
direita	adj	direito
a	prp	a
a	art	o
noite	n	noite
em	prp	em
a	art	o
cama	n	cama
)	punc	)
e	conj-c	e
objectiva	n	objectiva
(	punc	(
diminuição	n	diminuição
de	prp	de
a	art	o
CK	prop	ck
e	conj-c	e
de	prp	de
a	art	o
actividade	n	actividade
espontânea	adj	espontânea
em	prp	em
o	art	o
EMG	prop	emg
)	punc	)
.	punc	.
